0	ReplaceConstant	org.assertj.core.internal.Bytes.zero()Ljava/lang/Byte;:47 - ReplaceConstant - 0 -> 1
1	ReplaceArithmeticOperator	org.assertj.core.internal.Bytes.absDiff(Ljava/lang/Byte;Ljava/lang/Byte;)Ljava/lang/Byte;:52 - ReplaceArithmeticOperator - -> +
2	ReplaceArithmeticOperator	org.assertj.core.internal.Bytes.absDiff(Ljava/lang/Byte;Ljava/lang/Byte;)Ljava/lang/Byte;:52 - ReplaceArithmeticOperator - -> %
3	ReplaceArithmeticOperator	org.assertj.core.internal.Bytes.absDiff(Ljava/lang/Byte;Ljava/lang/Byte;)Ljava/lang/Byte;:52 - ReplaceArithmeticOperator - -> *
4	ReplaceArithmeticOperator	org.assertj.core.internal.Bytes.absDiff(Ljava/lang/Byte;Ljava/lang/Byte;)Ljava/lang/Byte;:52 - ReplaceArithmeticOperator - -> /
5	ReplaceComparisonOperator	org.assertj.core.internal.Bytes.isGreaterThan(Ljava/lang/Byte;Ljava/lang/Byte;)Z:57 - ReplaceComparisonOperator <= -> -1
6	ReplaceComparisonOperator	org.assertj.core.internal.Bytes.isGreaterThan(Ljava/lang/Byte;Ljava/lang/Byte;)Z:57 - ReplaceComparisonOperator <= -> <
7	ReplaceComparisonOperator	org.assertj.core.internal.Bytes.isGreaterThan(Ljava/lang/Byte;Ljava/lang/Byte;)Z:57 - ReplaceComparisonOperator <= -> ==
8	ReplaceConstant	org.assertj.core.internal.Bytes.isGreaterThan(Ljava/lang/Byte;Ljava/lang/Byte;)Z:57 - ReplaceConstant - 1 -> 0
9	ReplaceConstant	org.assertj.core.internal.Bytes.isGreaterThan(Ljava/lang/Byte;Ljava/lang/Byte;)Z:57 - ReplaceConstant - 0 -> 1
