0	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.<init>()V:203 - ReplaceConstant - 1 -> 0
1	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.setMatch(Z)V:231 - InsertUnaryOp Negation of match
2	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.setMatch(Z)V:231 - InsertUnaryOp IINC 1 match
3	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.setMatch(Z)V:231 - InsertUnaryOp IINC -1 match
4	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.setIgnoreFileNameExtensions(Z)V:240 - InsertUnaryOp Negation of ignoreFileNameExtensions
5	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.setIgnoreFileNameExtensions(Z)V:240 - InsertUnaryOp IINC 1 ignoreFileNameExtensions
6	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.setIgnoreFileNameExtensions(Z)V:240 - InsertUnaryOp IINC -1 ignoreFileNameExtensions
7	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.init()V:245 - ReplaceComparisonOperator != null -> = null
8	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.init()V:245 - ReplaceComparisonOperator != null -> = null
9	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.init()V:246 - ReplaceConstant - \s -> 
10	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:255 - ReplaceComparisonOperator == -> -2
11	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:255 - ReplaceComparisonOperator == -> >=
12	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:255 - ReplaceComparisonOperator == -> <=
13	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:255 - ReplaceComparisonOperator == -> -2
14	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:255 - ReplaceComparisonOperator == -> >=
15	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:255 - ReplaceComparisonOperator == -> <=
16	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.getFileName(Ljava/io/File;)Ljava/lang/String;:269 - InsertUnaryOp Negation
17	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.getFileName(Ljava/io/File;)Ljava/lang/String;:269 - ReplaceComparisonOperator == -> -2
18	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.getFileName(Ljava/io/File;)Ljava/lang/String;:269 - ReplaceComparisonOperator == -> >=
19	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.getFileName(Ljava/io/File;)Ljava/lang/String;:269 - ReplaceComparisonOperator == -> <=
20	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.getFolderPath(Ljava/io/File;)Ljava/lang/String;:289 - ReplaceConstant - unable to create canonical path names for  -> 
21	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.isMatchFolder(Ljava/lang/String;)Z:305 - ReplaceComparisonOperator != null -> = null
22	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.isMatchFolder(Ljava/lang/String;)Z:306 - ReplaceConstant - 1 -> 0
23	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.isMatchFolder(Ljava/lang/String;)Z:312 - ReplaceComparisonOperator != null -> = null
24	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck.isMatchFolder(Ljava/lang/String;)Z:313 - InsertUnaryOp Negation
