0	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.setOption(Ljava/lang/String;)V:84 - ReplaceConstant - unable to parse  -> 
1	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 1 -> 0
2	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 0 -> 1
3	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 35 -> 0
4	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 35 -> 1
5	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 35 -> -1
6	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 35 -> 34
7	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.getAcceptableTokens()[I:95 - ReplaceConstant - 35 -> 36
8	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.visitToken(Lcom/puppycrawl/tools/checkstyle/api/DetailAST;)V:105 - ReplaceComparisonOperator != -> -1
9	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.visitToken(Lcom/puppycrawl/tools/checkstyle/api/DetailAST;)V:105 - ReplaceComparisonOperator != -> <
10	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck.visitToken(Lcom/puppycrawl/tools/checkstyle/api/DetailAST;)V:105 - ReplaceComparisonOperator != -> >
