0	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:50 - ReplaceConstant - 0 -> 1
1	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:53 - ReplaceConstant - 9 -> 0
2	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:53 - ReplaceConstant - 9 -> 1
3	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:53 - ReplaceConstant - 9 -> -1
4	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:53 - ReplaceConstant - 9 -> 8
5	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:53 - ReplaceConstant - 9 -> 10
6	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - InsertUnaryOp Negation of tabPosition
7	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - InsertUnaryOp IINC 1 tabPosition
8	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - InsertUnaryOp IINC -1 tabPosition
9	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - ReplaceConstant - -1 -> 0
10	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - ReplaceConstant - -1 -> 1
11	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - ReplaceConstant - -1 -> -2
12	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - ReplaceComparisonOperator == -> -2
13	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - ReplaceComparisonOperator == -> >=
14	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:54 - ReplaceComparisonOperator == -> <=
15	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:55 - InsertUnaryOp Negation
16	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:55 - ReplaceComparisonOperator == -> -2
17	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:55 - ReplaceComparisonOperator == -> >=
18	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:55 - ReplaceComparisonOperator == -> <=
19	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - InsertUnaryOp Negation of lineNum
20	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - InsertUnaryOp IINC 1 lineNum
21	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - InsertUnaryOp IINC -1 lineNum
22	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - InsertUnaryOp Negation of tabPosition
23	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - InsertUnaryOp IINC 1 tabPosition
24	InsertUnaryOp	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - InsertUnaryOp IINC -1 tabPosition
25	ReplaceConstant	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - ReplaceConstant - 1 -> 0
26	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - ReplaceArithmeticOperator + -> %
27	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - ReplaceArithmeticOperator + -> -
28	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - ReplaceArithmeticOperator + -> *
29	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck.processFiltered(Ljava/io/File;Ljava/util/List;)V:56 - ReplaceArithmeticOperator + -> /
