0	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:88 - ReplaceConstant - 0 -> 1
1	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:91 - ReplaceConstant - 0 -> 1
2	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:91 - ReplaceConstant - 0 -> 1
3	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:95 - ReplaceConstant - 1 -> 0
4	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:95 - ReplaceComparisonOperator >= -> -1
5	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:95 - ReplaceComparisonOperator >= -> >
6	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:95 - ReplaceComparisonOperator >= -> ==
7	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:110 - ReplaceConstant - ENTER -> 
8	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:111 - ReplaceConstant - expand/collapse -> 
9	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:112 - ReplaceConstant - expand/collapse -> 
10	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.<init>(Lcom/puppycrawl/tools/checkstyle/gui/ParseTreeTableModel;)V:113 - ReplaceConstant - expand/collapse -> 
11	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.expandSelectedNode()V:132 - ReplaceComparisonOperator == -> -2
12	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.expandSelectedNode()V:132 - ReplaceComparisonOperator == -> >=
13	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.expandSelectedNode()V:132 - ReplaceComparisonOperator == -> <=
14	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:154 - ReplaceConstant - XXXXXX -> 
15	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:157 - ReplaceConstant - 10 -> 0
16	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:157 - ReplaceConstant - 10 -> 1
17	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:157 - ReplaceConstant - 10 -> -1
18	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:157 - ReplaceConstant - 10 -> 9
19	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:157 - ReplaceConstant - 10 -> 11
20	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - InsertUnaryOp Negation of widthOfSixCharacterString
21	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - InsertUnaryOp IINC 1 widthOfSixCharacterString
22	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - InsertUnaryOp IINC -1 widthOfSixCharacterString
23	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceConstant - 10 -> 0
24	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceConstant - 10 -> 1
25	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceConstant - 10 -> -1
26	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceConstant - 10 -> 9
27	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceConstant - 10 -> 11
28	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceArithmeticOperator + -> %
29	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceArithmeticOperator + -> -
30	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceArithmeticOperator + -> *
31	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:159 - ReplaceArithmeticOperator + -> /
32	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:160 - ReplaceConstant - Line -> 
33	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:160 - InsertUnaryOp Negation of widthOfColumnContainingSixCharacterString
34	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:160 - InsertUnaryOp IINC 1 widthOfColumnContainingSixCharacterString
35	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:160 - InsertUnaryOp IINC -1 widthOfColumnContainingSixCharacterString
36	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:161 - ReplaceConstant - Column -> 
37	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:161 - InsertUnaryOp Negation of widthOfColumnContainingSixCharacterString
38	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:161 - InsertUnaryOp IINC 1 widthOfColumnContainingSixCharacterString
39	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:161 - InsertUnaryOp IINC -1 widthOfColumnContainingSixCharacterString
40	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceConstant - 0.6 -> 0.0
41	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceConstant - 0.6 -> 1.0
42	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceConstant - 0.6 -> -1.0
43	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceConstant - 0.6 -> -0.4
44	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceConstant - 0.6 -> 1.6
45	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceArithmeticOperator * -> +
46	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceArithmeticOperator * -> %
47	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceArithmeticOperator * -> -
48	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:163 - ReplaceArithmeticOperator * -> /
49	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:164 - ReplaceConstant - Tree -> 
50	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:164 - InsertUnaryOp Negation of preferredTreeColumnWidth
51	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:164 - InsertUnaryOp IINC 1 preferredTreeColumnWidth
52	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:164 - InsertUnaryOp IINC -1 preferredTreeColumnWidth
53	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:167 - ReplaceConstant - XXXXXXXXXXXXXXXXXXXXXXXXXXXX -> 
54	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - InsertUnaryOp Negation of widthOfTwentyEightCharacterString
55	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - InsertUnaryOp IINC 1 widthOfTwentyEightCharacterString
56	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - InsertUnaryOp IINC -1 widthOfTwentyEightCharacterString
57	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceConstant - 10 -> 0
58	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceConstant - 10 -> 1
59	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceConstant - 10 -> -1
60	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceConstant - 10 -> 9
61	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceConstant - 10 -> 11
62	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceArithmeticOperator + -> %
63	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceArithmeticOperator + -> -
64	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceArithmeticOperator + -> *
65	ReplaceArithmeticOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:168 - ReplaceArithmeticOperator + -> /
66	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:169 - ReplaceConstant - Type -> 
67	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:169 - InsertUnaryOp Negation of preferredTypeColumnWidth
68	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:169 - InsertUnaryOp IINC 1 preferredTypeColumnWidth
69	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setColumnsInitialWidth()V:169 - InsertUnaryOp IINC -1 preferredTypeColumnWidth
70	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.updateUI()V:180 - ReplaceComparisonOperator = null -> != null
71	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.updateUI()V:185 - ReplaceConstant - Tree.background -> 
72	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.updateUI()V:186 - ReplaceConstant - Tree.foreground -> 
73	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.updateUI()V:186 - ReplaceConstant - Tree.font -> 
74	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:197 - InsertUnaryOp Negation
75	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:197 - InsertUnaryOp +1
76	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:197 - InsertUnaryOp -1
77	ReplaceComparisonOperator	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:199 - ReplaceComparisonOperator != -> ==
78	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:200 - ReplaceConstant - -1 -> 0
79	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:200 - ReplaceConstant - -1 -> 1
80	ReplaceConstant	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:200 - ReplaceConstant - -1 -> -2
81	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:203 - InsertUnaryOp Negation
82	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:203 - InsertUnaryOp +1
83	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.getEditingRow()I:203 - InsertUnaryOp -1
84	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setRowHeight(I)V:212 - InsertUnaryOp Negation of newRowHeight
85	InsertUnaryOp	com.puppycrawl.tools.checkstyle.gui.JTreeTable.setRowHeight(I)V:212 - InsertUnaryOp IINC 1 newRowHeight
