0	InsertUnaryOp	org.apache.commons.lang3.CharUtils.toCharacterObject(C)Ljava/lang/Character;:89 - InsertUnaryOp Negation of ch
1	InsertUnaryOp	org.apache.commons.lang3.CharUtils.toCharacterObject(C)Ljava/lang/Character;:89 - InsertUnaryOp IINC 1 ch
2	InsertUnaryOp	org.apache.commons.lang3.CharUtils.toCharacterObject(C)Ljava/lang/Character;:89 - InsertUnaryOp IINC -1 ch
3	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toCharacterObject(Ljava/lang/String;)Ljava/lang/Character;:110 - ReplaceComparisonOperator == -> -2
4	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toCharacterObject(Ljava/lang/String;)Ljava/lang/Character;:110 - ReplaceComparisonOperator == -> >=
5	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toCharacterObject(Ljava/lang/String;)Ljava/lang/Character;:110 - ReplaceComparisonOperator == -> <=
6	ReplaceConstant	org.apache.commons.lang3.CharUtils.toCharacterObject(Ljava/lang/String;)Ljava/lang/Character;:113 - ReplaceConstant - 0 -> 1
7	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/Character;)C:131 - ReplaceComparisonOperator != null -> = null
8	ReplaceConstant	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/Character;)C:132 - ReplaceConstant - The Character must not be null -> 
9	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/Character;C)C:151 - ReplaceComparisonOperator != null -> = null
10	InsertUnaryOp	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/Character;C)C:152 - InsertUnaryOp Negation of defaultValue
11	InsertUnaryOp	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/Character;C)C:152 - InsertUnaryOp IINC 1 defaultValue
12	InsertUnaryOp	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/Character;C)C:152 - InsertUnaryOp IINC -1 defaultValue
13	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/String;)C:174 - ReplaceComparisonOperator == -> -2
14	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/String;)C:174 - ReplaceComparisonOperator == -> >=
15	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/String;)C:174 - ReplaceComparisonOperator == -> <=
16	ReplaceConstant	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/String;)C:175 - ReplaceConstant - The String must not be empty -> 
17	ReplaceConstant	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/String;)C:177 - ReplaceConstant - 0 -> 1
18	ReplaceComparisonOperator	org.apache.commons.lang3.CharUtils.toChar(Ljava/lang/String;C)C:196 - ReplaceComparisonOperator == -> -2
