0	ReplaceConstant	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.<init>(J)V:77 - ReplaceConstant - 0 -> 1
1	ReplaceConstant	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.<init>(J)V:77 - ReplaceConstant - 0 -> -1
2	InsertUnaryOp	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.<init>(J)V:78 - InsertUnaryOp Negation of threshold
3	InsertUnaryOp	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.getThreshold()J:87 - InsertUnaryOp Negation
4	ReplaceConstant	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.close()V:106 - ReplaceConstant - 0 -> 1
5	ReplaceConstant	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.close()V:106 - ReplaceConstant - 0 -> -1
6	InsertUnaryOp	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:116 - InsertUnaryOp Negation
7	ReplaceConstant	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:116 - ReplaceConstant - 0 -> 1
8	ReplaceConstant	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:116 - ReplaceConstant - 0 -> -1
9	ReplaceComparisonOperator	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:116 - ReplaceComparisonOperator != -> -1
10	ReplaceComparisonOperator	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:116 - ReplaceComparisonOperator != -> <
11	ReplaceComparisonOperator	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:116 - ReplaceComparisonOperator != -> >
12	InsertUnaryOp	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:121 - InsertUnaryOp Negation of used
13	InsertUnaryOp	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:121 - InsertUnaryOp Negation
14	ReplaceComparisonOperator	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:121 - ReplaceComparisonOperator <= -> -1
15	ReplaceComparisonOperator	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:121 - ReplaceComparisonOperator <= -> ==
16	ReplaceComparisonOperator	org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker.incrementAndCheckState(Ljava/lang/Long;)Z:121 - ReplaceComparisonOperator <= -> <
