0	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;)V:16 - ReplaceConstant - 2048 -> 0
1	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;)V:16 - ReplaceConstant - 2048 -> 1
2	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;)V:16 - ReplaceConstant - 2048 -> -1
3	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;)V:16 - ReplaceConstant - 2048 -> 2047
4	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;)V:16 - ReplaceConstant - 2048 -> 2049
5	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:10 - ReplaceConstant - 0 -> 1
6	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:11 - ReplaceConstant - 0 -> 1
7	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:12 - ReplaceConstant - 0 -> 1
8	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:13 - ReplaceConstant - 0 -> 1
9	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:21 - InsertUnaryOp Negation of bufferSize
10	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:21 - InsertUnaryOp IINC 1 bufferSize
11	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.<init>(Ljava/io/Reader;I)V:21 - InsertUnaryOp IINC -1 bufferSize
12	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.available()I:26 - InsertUnaryOp Negation
13	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.available()I:26 - InsertUnaryOp +1
14	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.available()I:26 - InsertUnaryOp -1
15	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.fill()V:30 - ReplaceConstant - 0 -> 1
16	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp Negation
17	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp +1
18	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp -1
19	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp Negation
20	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp +1
21	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp -1
22	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - ReplaceComparisonOperator != -> -1
23	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - ReplaceComparisonOperator != -> <
24	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - ReplaceComparisonOperator != -> >
25	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp Negation
26	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp +1
27	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - InsertUnaryOp -1
28	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - ReplaceComparisonOperator <= -> -1
29	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - ReplaceComparisonOperator <= -> ==
30	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:32 - ReplaceComparisonOperator <= -> <
31	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - InsertUnaryOp Negation
32	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - InsertUnaryOp +1
33	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - InsertUnaryOp -1
34	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - InsertUnaryOp Negation
35	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - InsertUnaryOp +1
36	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - InsertUnaryOp -1
37	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - ReplaceComparisonOperator < -> !=
38	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - ReplaceComparisonOperator < -> -2
39	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:36 - ReplaceComparisonOperator < -> <=
40	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - InsertUnaryOp Negation
41	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - InsertUnaryOp +1
42	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - InsertUnaryOp -1
43	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - ReplaceArithmeticOperator - -> +
44	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - ReplaceArithmeticOperator - -> %
45	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - ReplaceArithmeticOperator - -> *
46	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:37 - ReplaceArithmeticOperator - -> /
47	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - InsertUnaryOp Negation
48	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - InsertUnaryOp +1
49	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - InsertUnaryOp -1
50	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - InsertUnaryOp Negation
51	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - InsertUnaryOp +1
52	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - InsertUnaryOp -1
53	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - ReplaceArithmeticOperator - -> +
54	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - ReplaceArithmeticOperator - -> %
55	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - ReplaceArithmeticOperator - -> *
56	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:39 - ReplaceArithmeticOperator - -> /
57	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:42 - InsertUnaryOp Negation
58	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:42 - InsertUnaryOp +1
59	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:42 - InsertUnaryOp -1
60	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:42 - InsertUnaryOp Negation of len
61	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:42 - InsertUnaryOp IINC 1 len
62	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:42 - InsertUnaryOp IINC -1 len
63	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:44 - InsertUnaryOp Negation of amountRead
64	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:44 - InsertUnaryOp IINC 1 amountRead
65	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:44 - InsertUnaryOp IINC -1 amountRead
66	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:44 - ReplaceComparisonOperator >= -> -1
67	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:44 - ReplaceComparisonOperator >= -> ==
68	ReplaceComparisonOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:44 - ReplaceComparisonOperator >= -> >
69	ReplaceConstant	org.dynjs.parser.js.CircularCharBuffer.fill()V:45 - ReplaceConstant - 1 -> 0
70	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - InsertUnaryOp Negation
71	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - InsertUnaryOp +1
72	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - InsertUnaryOp -1
73	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - InsertUnaryOp Negation of amountRead
74	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - InsertUnaryOp IINC 1 amountRead
75	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - InsertUnaryOp IINC -1 amountRead
76	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - ReplaceArithmeticOperator + -> %
77	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - ReplaceArithmeticOperator + -> -
78	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - ReplaceArithmeticOperator + -> *
79	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:49 - ReplaceArithmeticOperator + -> /
80	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - InsertUnaryOp Negation
81	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - InsertUnaryOp +1
82	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - InsertUnaryOp -1
83	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - InsertUnaryOp Negation of amountRead
84	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - InsertUnaryOp IINC 1 amountRead
85	InsertUnaryOp	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - InsertUnaryOp IINC -1 amountRead
86	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - ReplaceArithmeticOperator + -> %
87	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - ReplaceArithmeticOperator + -> -
88	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - ReplaceArithmeticOperator + -> *
89	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - ReplaceArithmeticOperator + -> /
90	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - ReplaceArithmeticOperator % -> +
91	ReplaceArithmeticOperator	org.dynjs.parser.js.CircularCharBuffer.fill()V:50 - ReplaceArithmeticOperator % -> -
