0	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.<init>(Lorg/dynjs/runtime/GlobalContext;)V:12 - ReplaceConstant - 1 -> 0
1	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.<init>(Lorg/dynjs/runtime/GlobalContext;)V:12 - ReplaceConstant - 0 -> 1
2	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.<init>(Lorg/dynjs/runtime/GlobalContext;)V:12 - ReplaceConstant - x -> 
3	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceConstant - 0 -> 1
4	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceComparisonOperator == -> -2
5	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceComparisonOperator == -> >=
6	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceComparisonOperator == -> <=
7	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:18 - ReplaceConstant - NaN -> 0.0
8	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:18 - ReplaceConstant - NaN -> 1.0
9	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:18 - ReplaceConstant - NaN -> -1.0
10	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:18 - ReplaceConstant - NaN -> NaN
11	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:20 - ReplaceConstant - 0 -> 1
12	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:23 - ReplaceConstant - 0.0 -> 1.0
13	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:23 - ReplaceConstant - 0.0 -> -1.0
14	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:23 - ReplaceComparisonOperator != -> -1
15	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:23 - ReplaceComparisonOperator != -> <
16	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:23 - ReplaceComparisonOperator != -> >
17	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:24 - ReplaceConstant - 1 -> 0
18	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceComparisonOperator == -> -2
19	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceComparisonOperator == -> >=
20	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceComparisonOperator == -> <=
21	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceConstant - 0.0 -> 1.0
22	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceConstant - 0.0 -> -1.0
23	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceComparisonOperator >= -> -1
24	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceComparisonOperator >= -> ==
25	ReplaceComparisonOperator	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:25 - ReplaceComparisonOperator >= -> >
26	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:26 - ReplaceConstant - 0 -> 1
27	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.setFileName()V:33 - ReplaceConstant - org/dynjs/runtime/builtins/math/Exp.java -> 
28	ReplaceConstant	org.dynjs.runtime.builtins.math.Exp.setupDebugContext()V:38 - ReplaceConstant - <native function: exp> -> 
