0	ReplaceConstant	org.geotools.filter.capability.ScalarCapabilitiesImpl.<init>()V:41 - ReplaceConstant - 0 -> 1
1	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.<init>(Lorg/opengis/filter/capability/ComparisonOperators;Lorg/opengis/filter/capability/ArithmeticOperators;Z)V:48 - InsertUnaryOp Negation of logicalOperators
2	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.<init>(Lorg/opengis/filter/capability/ComparisonOperators;Lorg/opengis/filter/capability/ArithmeticOperators;Z)V:48 - InsertUnaryOp IINC 1 logicalOperators
3	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.<init>(Lorg/opengis/filter/capability/ComparisonOperators;Lorg/opengis/filter/capability/ArithmeticOperators;Z)V:48 - InsertUnaryOp IINC -1 logicalOperators
4	ReplaceComparisonOperator	org.geotools.filter.capability.ScalarCapabilitiesImpl.<init>(Lorg/opengis/filter/capability/ScalarCapabilities;)V:52 - ReplaceComparisonOperator != null -> = null
5	ReplaceComparisonOperator	org.geotools.filter.capability.ScalarCapabilitiesImpl.<init>(Lorg/opengis/filter/capability/ScalarCapabilities;)V:56 - ReplaceComparisonOperator != null -> = null
6	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.setLogicalOperators(Z)V:79 - InsertUnaryOp Negation of logicalOperators
7	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.setLogicalOperators(Z)V:79 - InsertUnaryOp IINC 1 logicalOperators
8	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.setLogicalOperators(Z)V:79 - InsertUnaryOp IINC -1 logicalOperators
9	InsertUnaryOp	org.geotools.filter.capability.ScalarCapabilitiesImpl.hasLogicalOperators()Z:82 - InsertUnaryOp Negation
10	ReplaceComparisonOperator	org.geotools.filter.capability.ScalarCapabilitiesImpl.toComparisonOperatorsImpl(Lorg/opengis/filter/capability/ComparisonOperators;)Lorg/geotools/filter/capability/ComparisonOperatorsImpl;:87 - ReplaceComparisonOperator != null -> = null
11	ReplaceComparisonOperator	org.geotools.filter.capability.ScalarCapabilitiesImpl.toComparisonOperatorsImpl(Lorg/opengis/filter/capability/ComparisonOperators;)Lorg/geotools/filter/capability/ComparisonOperatorsImpl;:90 - ReplaceComparisonOperator == -> -2
