0	ReplaceConstant	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:61 - ReplaceConstant - 0 -> 1
1	ReplaceConstant	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:63 - ReplaceConstant - 0 -> 1
2	ReplaceConstant	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:64 - ReplaceConstant - 1 -> 0
3	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:66 - ReplaceComparisonOperator == -> -2
4	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:66 - ReplaceComparisonOperator == -> >=
5	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:66 - ReplaceComparisonOperator == -> <=
6	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:68 - ReplaceComparisonOperator != null -> = null
7	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - InsertUnaryOp Negation of result
8	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - InsertUnaryOp IINC 1 result
9	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - InsertUnaryOp IINC -1 result
10	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceComparisonOperator != -> -1
11	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceComparisonOperator != -> <
12	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceComparisonOperator != -> >
13	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceComparisonOperator == -> -2
14	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceComparisonOperator == -> >=
15	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceComparisonOperator == -> <=
16	ReplaceConstant	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceConstant - 1 -> 0
17	ReplaceConstant	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:71 - ReplaceConstant - 0 -> 1
18	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:74 - InsertUnaryOp Negation of result
19	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:74 - InsertUnaryOp IINC 1 result
20	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:74 - InsertUnaryOp IINC -1 result
21	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:74 - ReplaceComparisonOperator == -> -2
22	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:74 - ReplaceComparisonOperator == -> >=
23	ReplaceComparisonOperator	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:74 - ReplaceComparisonOperator == -> <=
24	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:79 - InsertUnaryOp Negation of result
25	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:79 - InsertUnaryOp IINC 1 result
26	InsertUnaryOp	org.geotools.filter.function.InFunction.evaluate(Ljava/lang/Object;)Ljava/lang/Object;:79 - InsertUnaryOp IINC -1 result
