0	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.<init>(Lorg/opengis/filter/FilterFactory;Lorg/geotools/styling/Description;Ljava/lang/String;Ljavax/measure/unit/Unit;Lorg/opengis/style/OverlapBehavior;)V:66 - ReplaceConstant - 1.0 -> 0.0
1	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.<init>(Lorg/opengis/filter/FilterFactory;Lorg/geotools/styling/Description;Ljava/lang/String;Ljavax/measure/unit/Unit;Lorg/opengis/style/OverlapBehavior;)V:66 - ReplaceConstant - 1.0 -> -1.0
2	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.<init>(Lorg/opengis/filter/FilterFactory;Lorg/geotools/styling/Description;Ljava/lang/String;Ljavax/measure/unit/Unit;Lorg/opengis/style/OverlapBehavior;)V:66 - ReplaceConstant - 1.0 -> 2.0
3	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:74 - ReplaceConstant - 31 -> 0
4	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:74 - ReplaceConstant - 31 -> 1
5	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:74 - ReplaceConstant - 31 -> -1
6	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:74 - ReplaceConstant - 31 -> 30
7	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:74 - ReplaceConstant - 31 -> 32
8	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceConstant - 31 -> 0
9	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceConstant - 31 -> 1
10	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceConstant - 31 -> -1
11	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceConstant - 31 -> 30
12	ReplaceConstant	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceConstant - 31 -> 32
13	InsertUnaryOp	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - InsertUnaryOp Negation of result
14	InsertUnaryOp	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - InsertUnaryOp IINC 1 result
15	InsertUnaryOp	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - InsertUnaryOp IINC -1 result
16	ReplaceArithmeticOperator	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceArithmeticOperator * -> +
17	ReplaceArithmeticOperator	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceArithmeticOperator * -> %
18	ReplaceArithmeticOperator	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceArithmeticOperator * -> -
19	ReplaceArithmeticOperator	org.geotools.styling.RasterSymbolizerImpl.hashCode()I:76 - ReplaceArithmeticOperator * -> /
