0	ReplaceConstant	org.jfree.chart.axis.AxisState.<init>()V:70 - ReplaceConstant - 0.0 -> 1.0
1	ReplaceConstant	org.jfree.chart.axis.AxisState.<init>()V:70 - ReplaceConstant - 0.0 -> -1.0
2	InsertUnaryOp	org.jfree.chart.axis.AxisState.<init>(D)V:79 - InsertUnaryOp Negation of cursor
3	InsertUnaryOp	org.jfree.chart.axis.AxisState.getCursor()D:89 - InsertUnaryOp Negation
4	InsertUnaryOp	org.jfree.chart.axis.AxisState.setCursor(D)V:98 - InsertUnaryOp Negation of cursor
5	ReplaceComparisonOperator	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:108 - ReplaceComparisonOperator != -> ==
6	InsertUnaryOp	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:109 - InsertUnaryOp Negation of units
7	ReplaceComparisonOperator	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:111 - ReplaceComparisonOperator != -> ==
8	InsertUnaryOp	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:112 - InsertUnaryOp Negation of units
9	ReplaceComparisonOperator	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:114 - ReplaceComparisonOperator != -> ==
10	InsertUnaryOp	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:115 - InsertUnaryOp Negation of units
11	ReplaceComparisonOperator	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:117 - ReplaceComparisonOperator != -> ==
12	InsertUnaryOp	org.jfree.chart.axis.AxisState.moveCursor(DLorg/jfree/ui/RectangleEdge;)V:118 - InsertUnaryOp Negation of units
13	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorUp(D)V:128 - InsertUnaryOp Negation
14	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorUp(D)V:128 - InsertUnaryOp Negation of units
15	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorUp(D)V:128 - ReplaceArithmeticOperator - -> +
16	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorUp(D)V:128 - ReplaceArithmeticOperator - -> %
17	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorUp(D)V:128 - ReplaceArithmeticOperator - -> *
18	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorUp(D)V:128 - ReplaceArithmeticOperator - -> /
19	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorDown(D)V:137 - InsertUnaryOp Negation
20	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorDown(D)V:137 - InsertUnaryOp Negation of units
21	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorDown(D)V:137 - ReplaceArithmeticOperator + -> %
22	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorDown(D)V:137 - ReplaceArithmeticOperator + -> -
23	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorDown(D)V:137 - ReplaceArithmeticOperator + -> *
24	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorDown(D)V:137 - ReplaceArithmeticOperator + -> /
25	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorLeft(D)V:146 - InsertUnaryOp Negation
26	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorLeft(D)V:146 - InsertUnaryOp Negation of units
27	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorLeft(D)V:146 - ReplaceArithmeticOperator - -> +
28	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorLeft(D)V:146 - ReplaceArithmeticOperator - -> %
29	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorLeft(D)V:146 - ReplaceArithmeticOperator - -> *
30	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorLeft(D)V:146 - ReplaceArithmeticOperator - -> /
31	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorRight(D)V:155 - InsertUnaryOp Negation
32	InsertUnaryOp	org.jfree.chart.axis.AxisState.cursorRight(D)V:155 - InsertUnaryOp Negation of units
33	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorRight(D)V:155 - ReplaceArithmeticOperator + -> %
34	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorRight(D)V:155 - ReplaceArithmeticOperator + -> -
35	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorRight(D)V:155 - ReplaceArithmeticOperator + -> *
36	ReplaceArithmeticOperator	org.jfree.chart.axis.AxisState.cursorRight(D)V:155 - ReplaceArithmeticOperator + -> /
37	InsertUnaryOp	org.jfree.chart.axis.AxisState.getMax()D:182 - InsertUnaryOp Negation
38	InsertUnaryOp	org.jfree.chart.axis.AxisState.setMax(D)V:191 - InsertUnaryOp Negation of max
