0	ReplaceConstant	org.jfree.chart.needle.ArrowNeedle.<init>(Z)V:71 - ReplaceConstant - 1 -> 0
1	InsertUnaryOp	org.jfree.chart.needle.ArrowNeedle.<init>(Z)V:80 - InsertUnaryOp Negation of isArrowAtTop
2	InsertUnaryOp	org.jfree.chart.needle.ArrowNeedle.<init>(Z)V:80 - InsertUnaryOp IINC 1 isArrowAtTop
3	InsertUnaryOp	org.jfree.chart.needle.ArrowNeedle.<init>(Z)V:80 - InsertUnaryOp IINC -1 isArrowAtTop
4	ReplaceConstant	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceConstant - 2.0 -> 0.0
5	ReplaceConstant	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceConstant - 2.0 -> 1.0
6	ReplaceConstant	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceConstant - 2.0 -> -1.0
7	ReplaceConstant	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceConstant - 2.0 -> 3.0
8	ReplaceArithmeticOperator	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceArithmeticOperator / -> +
9	ReplaceArithmeticOperator	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceArithmeticOperator / -> %
10	ReplaceArithmeticOperator	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceArithmeticOperator / -> -
11	ReplaceArithmeticOperator	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceArithmeticOperator / -> *
12	ReplaceArithmeticOperator	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceArithmeticOperator + -> %
13	ReplaceArithmeticOperator	org.jfree.chart.needle.ArrowNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:98 - ReplaceArithmeticOperator + -> -
