0	ReplaceConstant	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceConstant - 2.0 -> 0.0
1	ReplaceConstant	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceConstant - 2.0 -> 1.0
2	ReplaceConstant	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceConstant - 2.0 -> -1.0
3	ReplaceConstant	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceConstant - 2.0 -> 3.0
4	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator / -> +
5	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator / -> %
6	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator / -> -
7	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator / -> *
8	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator + -> %
9	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator + -> -
10	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator + -> *
11	ReplaceArithmeticOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:78 - ReplaceArithmeticOperator + -> /
12	InsertUnaryOp	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:79 - InsertUnaryOp Negation of x
13	InsertUnaryOp	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:79 - InsertUnaryOp Negation of x
14	ReplaceComparisonOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - ReplaceComparisonOperator = null -> != null
15	InsertUnaryOp	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - InsertUnaryOp Negation of angle
16	ReplaceConstant	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - ReplaceConstant - 0.0 -> 1.0
17	ReplaceConstant	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - ReplaceConstant - 0.0 -> -1.0
18	ReplaceComparisonOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - ReplaceComparisonOperator == -> -2
19	ReplaceComparisonOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - ReplaceComparisonOperator == -> >=
20	ReplaceComparisonOperator	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:83 - ReplaceComparisonOperator == -> <=
21	InsertUnaryOp	org.jfree.chart.needle.LineNeedle.drawNeedle(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;D)V:85 - InsertUnaryOp Negation of angle
22	ReplaceComparisonOperator	org.jfree.chart.needle.LineNeedle.equals(Ljava/lang/Object;)Z:102 - ReplaceComparisonOperator != -> ==
23	ReplaceConstant	org.jfree.chart.needle.LineNeedle.equals(Ljava/lang/Object;)Z:103 - ReplaceConstant - 1 -> 0
