0	ReplaceConstant	org.jfree.chart.plot.CrosshairState.<init>()V:119 - ReplaceConstant - 0 -> 1
1	ReplaceConstant	org.jfree.chart.plot.CrosshairState.<init>(Z)V:67 - ReplaceConstant - 0 -> 1
2	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.<init>(Z)V:130 - InsertUnaryOp Negation of calculateDistanceInDataSpace
3	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.<init>(Z)V:130 - InsertUnaryOp IINC 1 calculateDistanceInDataSpace
4	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.<init>(Z)V:130 - InsertUnaryOp IINC -1 calculateDistanceInDataSpace
5	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.getCrosshairDistance()D:143 - InsertUnaryOp Negation
6	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.setCrosshairDistance(D)V:157 - InsertUnaryOp Negation of distance
7	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDDDLorg/jfree/chart/plot/PlotOrientation;)V:182 - InsertUnaryOp Negation of x
8	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDDDLorg/jfree/chart/plot/PlotOrientation;)V:182 - InsertUnaryOp Negation of y
9	ReplaceConstant	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDDDLorg/jfree/chart/plot/PlotOrientation;)V:182 - ReplaceConstant - 0 -> 1
10	ReplaceConstant	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDDDLorg/jfree/chart/plot/PlotOrientation;)V:182 - ReplaceConstant - 0 -> 1
11	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDDDLorg/jfree/chart/plot/PlotOrientation;)V:182 - InsertUnaryOp Negation of transX
12	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDDDLorg/jfree/chart/plot/PlotOrientation;)V:182 - InsertUnaryOp Negation of transY
13	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:209 - ReplaceComparisonOperator = null -> != null
14	ReplaceConstant	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:210 - ReplaceConstant - 0.0 -> 1.0
15	ReplaceConstant	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:210 - ReplaceConstant - 0.0 -> -1.0
16	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:211 - InsertUnaryOp Negation
17	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:211 - ReplaceComparisonOperator == -> -2
18	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:211 - ReplaceComparisonOperator == -> >=
19	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:211 - ReplaceComparisonOperator == -> <=
20	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation of x
21	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation
22	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> +
23	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> %
24	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> *
25	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> /
26	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation of x
27	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation
28	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> +
29	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> %
30	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> *
31	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> /
32	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> +
33	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> %
34	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> -
35	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> /
36	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation of y
37	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation
38	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> +
39	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> %
40	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> *
41	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> /
42	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation of y
43	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - InsertUnaryOp Negation
44	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> +
45	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> %
46	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> *
47	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator - -> /
48	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> +
49	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> %
50	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> -
51	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator * -> /
52	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator + -> %
53	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator + -> -
54	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator + -> *
55	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:212 - ReplaceArithmeticOperator + -> /
56	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:218 - ReplaceComparisonOperator != -> ==
57	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:219 - InsertUnaryOp Negation of yy
58	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:220 - InsertUnaryOp Negation of xx
59	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:221 - InsertUnaryOp Negation of temp
60	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of transX
61	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of xx
62	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> +
63	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> %
64	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> *
65	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> /
66	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of transX
67	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of xx
68	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> +
69	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> %
70	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> *
71	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> /
72	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> +
73	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> %
74	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> -
75	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> /
76	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of transY
77	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of yy
78	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> +
79	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> %
80	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> *
81	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> /
82	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of transY
83	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - InsertUnaryOp Negation of yy
84	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> +
85	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> %
86	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> *
87	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator - -> /
88	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> +
89	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> %
90	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> -
91	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator * -> /
92	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator + -> %
93	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator + -> -
94	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator + -> *
95	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:223 - ReplaceArithmeticOperator + -> /
96	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:227 - InsertUnaryOp Negation of d
97	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:227 - InsertUnaryOp Negation
98	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:227 - ReplaceComparisonOperator >= -> -1
99	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:227 - ReplaceComparisonOperator >= -> ==
100	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:227 - ReplaceComparisonOperator >= -> >
101	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:228 - InsertUnaryOp Negation of x
102	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:229 - InsertUnaryOp Negation of y
103	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:230 - InsertUnaryOp Negation of domainAxisIndex
104	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:230 - InsertUnaryOp IINC 1 domainAxisIndex
105	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:230 - InsertUnaryOp IINC -1 domainAxisIndex
106	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:231 - InsertUnaryOp Negation of rangeAxisIndex
107	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:231 - InsertUnaryOp IINC 1 rangeAxisIndex
108	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:231 - InsertUnaryOp IINC -1 rangeAxisIndex
109	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairPoint(DDIIDDLorg/jfree/chart/plot/PlotOrientation;)V:232 - InsertUnaryOp Negation of d
110	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(D)V:251 - InsertUnaryOp Negation of candidateX
111	ReplaceConstant	org.jfree.chart.plot.CrosshairState.updateCrosshairX(D)V:251 - ReplaceConstant - 0 -> 1
112	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:268 - InsertUnaryOp Negation of candidateX
113	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:268 - InsertUnaryOp Negation
114	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:268 - ReplaceArithmeticOperator - -> +
115	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:268 - ReplaceArithmeticOperator - -> %
116	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:268 - ReplaceArithmeticOperator - -> *
117	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:268 - ReplaceArithmeticOperator - -> /
118	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:269 - InsertUnaryOp Negation of d
119	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:269 - InsertUnaryOp Negation
120	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:269 - ReplaceComparisonOperator >= -> -1
121	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:269 - ReplaceComparisonOperator >= -> ==
122	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:269 - ReplaceComparisonOperator >= -> >
123	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:270 - InsertUnaryOp Negation of candidateX
124	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:271 - InsertUnaryOp Negation of domainAxisIndex
125	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:271 - InsertUnaryOp IINC 1 domainAxisIndex
126	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:271 - InsertUnaryOp IINC -1 domainAxisIndex
127	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairX(DI)V:272 - InsertUnaryOp Negation of d
128	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairY(D)V:290 - InsertUnaryOp Negation of candidateY
129	ReplaceConstant	org.jfree.chart.plot.CrosshairState.updateCrosshairY(D)V:290 - ReplaceConstant - 0 -> 1
130	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:306 - InsertUnaryOp Negation of candidateY
131	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:306 - InsertUnaryOp Negation
132	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:306 - ReplaceArithmeticOperator - -> +
133	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:306 - ReplaceArithmeticOperator - -> %
134	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:306 - ReplaceArithmeticOperator - -> *
135	ReplaceArithmeticOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:306 - ReplaceArithmeticOperator - -> /
136	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:307 - InsertUnaryOp Negation of d
137	InsertUnaryOp	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:307 - InsertUnaryOp Negation
138	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:307 - ReplaceComparisonOperator >= -> -1
139	ReplaceComparisonOperator	org.jfree.chart.plot.CrosshairState.updateCrosshairY(DI)V:307 - ReplaceComparisonOperator >= -> ==
