0	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.<init>()V:186 - ReplaceConstant - X -> 
1	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.<init>()V:186 - ReplaceConstant - Y -> 
2	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.<init>([[FLorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/axis/ValueAxis;)V:202 - ReplaceConstant - domainAxis -> 
3	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.<init>([[FLorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/axis/ValueAxis;)V:203 - ReplaceConstant - rangeAxis -> 
4	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.<init>([[FLorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/axis/ValueAxis;)V:217 - ReplaceConstant - 1 -> 0
5	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.<init>([[FLorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/axis/ValueAxis;)V:221 - ReplaceConstant - 1 -> 0
6	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.getPlotType()Ljava/lang/String;:233 - ReplaceConstant - Fast_Scatter_Plot -> 
7	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.setDomainAxis(Lorg/jfree/chart/axis/ValueAxis;)V:292 - ReplaceConstant - axis -> 
8	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.setRangeAxis(Lorg/jfree/chart/axis/ValueAxis;)V:319 - ReplaceConstant - axis -> 
9	ReplaceConstant	org.jfree.chart.plot.FastScatterPlot.setPaint(Ljava/awt/Paint;)V:345 - ReplaceConstant - paint -> 
10	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.isDomainGridlinesVisible()Z:360 - InsertUnaryOp Negation
11	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - InsertUnaryOp Negation
12	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - InsertUnaryOp Negation of visible
13	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - InsertUnaryOp IINC 1 visible
14	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - InsertUnaryOp IINC -1 visible
15	ReplaceComparisonOperator	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - ReplaceComparisonOperator == -> -2
16	ReplaceComparisonOperator	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - ReplaceComparisonOperator == -> >=
17	ReplaceComparisonOperator	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:373 - ReplaceComparisonOperator == -> <=
18	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:374 - InsertUnaryOp Negation of visible
19	InsertUnaryOp	org.jfree.chart.plot.FastScatterPlot.setDomainGridlinesVisible(Z)V:374 - InsertUnaryOp IINC 1 visible
