0	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.<init>(I)V:55 - ReplaceConstant - 4.0 -> 0.0
1	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.<init>(I)V:55 - ReplaceConstant - 4.0 -> 1.0
2	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.<init>(I)V:55 - ReplaceConstant - 4.0 -> -1.0
3	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.<init>(I)V:55 - ReplaceConstant - 4.0 -> 3.0
4	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.<init>(I)V:55 - ReplaceConstant - 4.0 -> 5.0
5	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:79 - ReplaceComparisonOperator == -> -2
6	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:79 - ReplaceComparisonOperator == -> >=
7	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:79 - ReplaceComparisonOperator == -> <=
8	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:80 - InsertUnaryOp Negation of minY
9	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:80 - InsertUnaryOp Negation of height
10	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:83 - ReplaceComparisonOperator == -> -2
11	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:83 - ReplaceComparisonOperator == -> >=
12	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:83 - ReplaceComparisonOperator == -> <=
13	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:84 - InsertUnaryOp Negation of minY
14	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:84 - InsertUnaryOp Negation of height
15	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:87 - ReplaceComparisonOperator == -> -2
16	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:87 - ReplaceComparisonOperator == -> >=
17	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:87 - ReplaceComparisonOperator == -> <=
18	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:88 - InsertUnaryOp Negation of minY
19	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.distributeLabels(DD)V:88 - InsertUnaryOp Negation of height
20	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:99 - ReplaceConstant - 0.0 -> 1.0
21	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:99 - ReplaceConstant - 0.0 -> -1.0
22	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - ReplaceConstant - 0 -> 1
23	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - InsertUnaryOp Negation of i
24	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - InsertUnaryOp IINC 1 i
25	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - InsertUnaryOp IINC -1 i
26	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - ReplaceComparisonOperator >= -> -1
27	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - ReplaceComparisonOperator >= -> >
28	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:100 - ReplaceComparisonOperator >= -> ==
29	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:101 - InsertUnaryOp Negation of i
30	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:101 - InsertUnaryOp IINC 1 i
31	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:101 - InsertUnaryOp IINC -1 i
32	InsertUnaryOp	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:102 - InsertUnaryOp Negation of y
33	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:102 - ReplaceComparisonOperator <= -> -1
34	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:102 - ReplaceComparisonOperator <= -> ==
35	ReplaceComparisonOperator	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:102 - ReplaceComparisonOperator <= -> <
36	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:103 - ReplaceConstant - 1 -> 0
37	ReplaceConstant	org.jfree.chart.plot.PieLabelDistributor.isOverlap()Z:107 - ReplaceConstant - 0 -> 1
