0	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:104 - ReplaceConstant - 2.0 -> 0.0
1	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:104 - ReplaceConstant - 2.0 -> 1.0
2	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:104 - ReplaceConstant - 2.0 -> -1.0
3	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:104 - ReplaceConstant - 2.0 -> 3.0
4	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:105 - ReplaceConstant - 0.95 -> 0.0
5	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:105 - ReplaceConstant - 0.95 -> 1.0
6	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:105 - ReplaceConstant - 0.95 -> -1.0
7	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:105 - ReplaceConstant - 0.95 -> -0.050000000000000044
8	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.<init>()V:105 - ReplaceConstant - 0.95 -> 1.95
9	InsertUnaryOp	org.jfree.chart.plot.dial.StandardDialFrame.getRadius()D:116 - InsertUnaryOp Negation
10	InsertUnaryOp	org.jfree.chart.plot.dial.StandardDialFrame.setRadius(D)V:128 - InsertUnaryOp Negation of radius
11	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.setRadius(D)V:128 - ReplaceConstant - 0.0 -> 1.0
12	ReplaceConstant	org.jfree.chart.plot.dial.StandardDialFrame.setRadius(D)V:128 - ReplaceConstant - 0.0 -> -1.0
13	ReplaceComparisonOperator	org.jfree.chart.plot.dial.StandardDialFrame.setRadius(D)V:128 - ReplaceComparisonOperator > -> -2
14	ReplaceComparisonOperator	org.jfree.chart.plot.dial.StandardDialFrame.setRadius(D)V:128 - ReplaceComparisonOperator > -> !=
