0	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.<init>(Lorg/jfree/data/xy/MatrixSeries;)V:86 - ReplaceComparisonOperator = null -> != null
1	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getItemCount(I)I:101 - InsertUnaryOp Negation of seriesIndex
2	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getItemCount(I)I:101 - InsertUnaryOp IINC 1 seriesIndex
3	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getItemCount(I)I:101 - InsertUnaryOp IINC -1 seriesIndex
4	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - InsertUnaryOp Negation of seriesIndex
5	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - InsertUnaryOp IINC 1 seriesIndex
6	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - InsertUnaryOp IINC -1 seriesIndex
7	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - ReplaceComparisonOperator < -> -2
8	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - ReplaceComparisonOperator < -> !=
9	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - ReplaceComparisonOperator < -> <=
10	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - InsertUnaryOp Negation of seriesIndex
11	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - InsertUnaryOp IINC 1 seriesIndex
12	InsertUnaryOp	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - InsertUnaryOp IINC -1 seriesIndex
13	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - ReplaceComparisonOperator <= -> -1
14	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - ReplaceComparisonOperator <= -> <
15	ReplaceComparisonOperator	org.jfree.data.xy.MatrixSeriesCollection.getSeries(I)Lorg/jfree/data/xy/MatrixSeries;:113 - ReplaceComparisonOperator <= -> ==
