0	InsertUnaryOp	org.jfree.data.xy.XYIntervalDataItem.<init>(DDDDDD)V:64 - InsertUnaryOp Negation of x
1	InsertUnaryOp	org.jfree.data.xy.XYIntervalDataItem.<init>(DDDDDD)V:64 - InsertUnaryOp Negation of xLow
2	InsertUnaryOp	org.jfree.data.xy.XYIntervalDataItem.<init>(DDDDDD)V:64 - InsertUnaryOp Negation of xHigh
3	InsertUnaryOp	org.jfree.data.xy.XYIntervalDataItem.<init>(DDDDDD)V:64 - InsertUnaryOp Negation of y
4	InsertUnaryOp	org.jfree.data.xy.XYIntervalDataItem.<init>(DDDDDD)V:64 - InsertUnaryOp Negation of yLow
5	InsertUnaryOp	org.jfree.data.xy.XYIntervalDataItem.<init>(DDDDDD)V:64 - InsertUnaryOp Negation of yHigh
6	ReplaceComparisonOperator	org.jfree.data.xy.XYIntervalDataItem.getYValue()D:83 - ReplaceComparisonOperator = null -> != null
7	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYValue()D:87 - ReplaceConstant - NaN -> 0.0
8	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYValue()D:87 - ReplaceConstant - NaN -> 1.0
9	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYValue()D:87 - ReplaceConstant - NaN -> -1.0
10	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYValue()D:87 - ReplaceConstant - NaN -> NaN
11	ReplaceComparisonOperator	org.jfree.data.xy.XYIntervalDataItem.getXLowValue()D:98 - ReplaceComparisonOperator = null -> != null
12	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXLowValue()D:102 - ReplaceConstant - NaN -> 0.0
13	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXLowValue()D:102 - ReplaceConstant - NaN -> 1.0
14	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXLowValue()D:102 - ReplaceConstant - NaN -> -1.0
15	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXLowValue()D:102 - ReplaceConstant - NaN -> NaN
16	ReplaceComparisonOperator	org.jfree.data.xy.XYIntervalDataItem.getXHighValue()D:113 - ReplaceComparisonOperator = null -> != null
17	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXHighValue()D:117 - ReplaceConstant - NaN -> 0.0
18	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXHighValue()D:117 - ReplaceConstant - NaN -> 1.0
19	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXHighValue()D:117 - ReplaceConstant - NaN -> -1.0
20	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getXHighValue()D:117 - ReplaceConstant - NaN -> NaN
21	ReplaceComparisonOperator	org.jfree.data.xy.XYIntervalDataItem.getYLowValue()D:128 - ReplaceComparisonOperator = null -> != null
22	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYLowValue()D:132 - ReplaceConstant - NaN -> 0.0
23	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYLowValue()D:132 - ReplaceConstant - NaN -> 1.0
24	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYLowValue()D:132 - ReplaceConstant - NaN -> -1.0
25	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYLowValue()D:132 - ReplaceConstant - NaN -> NaN
26	ReplaceComparisonOperator	org.jfree.data.xy.XYIntervalDataItem.getYHighValue()D:143 - ReplaceComparisonOperator = null -> != null
27	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYHighValue()D:147 - ReplaceConstant - NaN -> 0.0
28	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYHighValue()D:147 - ReplaceConstant - NaN -> 1.0
29	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYHighValue()D:147 - ReplaceConstant - NaN -> -1.0
30	ReplaceConstant	org.jfree.data.xy.XYIntervalDataItem.getYHighValue()D:147 - ReplaceConstant - NaN -> NaN
