0	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:55 - ReplaceComparisonOperator = null -> != null
1	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:55 - ReplaceComparisonOperator != -> -1
2	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:55 - ReplaceComparisonOperator != -> <
3	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:55 - ReplaceComparisonOperator != -> >
4	ReplaceConstant	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:60 - ReplaceConstant - 0 -> 1
5	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:60 - ReplaceComparisonOperator >= -> -1
6	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:60 - ReplaceComparisonOperator >= -> >
7	ReplaceComparisonOperator	ro.fortsoft.pf4j.BasePluginRepository.getPluginPaths()Ljava/util/List;:60 - ReplaceComparisonOperator >= -> ==
8	ReplaceConstant	ro.fortsoft.pf4j.BasePluginRepository.deletePluginPath(Ljava/nio/file/Path;)Z:71 - ReplaceConstant - 1 -> 0
9	ReplaceConstant	ro.fortsoft.pf4j.BasePluginRepository.deletePluginPath(Ljava/nio/file/Path;)Z:73 - ReplaceConstant - 0 -> 1
