0	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.<init>()V:44 - ReplaceConstant - plugin.properties -> 
1	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:59 - ReplaceConstant - 0 -> 1
2	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:60 - ReplaceConstant - Lookup plugin descriptor in '{}' -> 
3	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:61 - ReplaceConstant - 0 -> 1
4	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:61 - ReplaceComparisonOperator == -> -2
5	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:61 - ReplaceComparisonOperator == -> >=
6	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:61 - ReplaceComparisonOperator == -> <=
7	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:62 - ReplaceConstant - Cannot find ' -> 
8	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:62 - ReplaceConstant - ' path -> 
9	ReplaceConstant	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:66 - ReplaceConstant - 0 -> 1
10	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:68 - ReplaceComparisonOperator = null -> != null
11	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:68 - ReplaceComparisonOperator = null -> != null
12	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:68 - ReplaceComparisonOperator = null -> != null
13	ReplaceComparisonOperator	ro.fortsoft.pf4j.PropertiesPluginDescriptorFinder.readProperties(Ljava/nio/file/Path;)Ljava/util/Properties;:68 - ReplaceComparisonOperator = null -> != null
